Nome,Preço,Marca,Categoria,Preço_02-05-2025,Preço_10-04-2025,Preço_13-04-2025,Preço_24-04-2025,Preço_30-04-2025
Absorvente Carefree Sem Abas Com 40 Unidades,,,,,"R$ 11,99","R$ 11,99","R$ 18,79",
Absorvente Carefree Sem Perfume Sem Abas Com 15 Unidades,,,,,"R$ 9,99","R$ 9,99","R$ 9,99",
Absorvente Carefree Sem Perfume Sem Abas Com 40 Unidades,,,,,"R$ 11,99","R$ 11,99","R$ 18,79",
Absorvente Externo Sempre Livre Adapt Com 16 Unidades,"R$ 10,99",Sempre Livre,Cuidado Íntimo,"R$ 10,99","R$ 11,99","R$ 10,99","R$ 10,99","R$ 10,99"
Absorvente Externo Sempre Livre Adapt Com Abas 8 Unidades,"R$ 5,99",Sempre Livre,Cuidado Íntimo,"R$ 5,99","R$ 3,99","R$ 3,99","R$ 5,99","R$ 5,99"
Absorvente Externo Sempre Livre Adapt Plus Ultra Suave Com 16 Unidades,"R$ 13,79",Sempre Livre,Cuidado Íntimo,"R$ 13,79","R$ 14,49","R$ 13,79","R$ 13,79","R$ 13,79"
Absorvente Externo Sempre Livre Adapt Plus Ultra Suave Com 8 Unidades,"R$ 7,39",Sempre Livre,Cuidado Íntimo,"R$ 7,39","R$ 5,99","R$ 7,39","R$ 7,39","R$ 7,39"
Absorvente Externo Sempre Livre Adapt Sem Abas 8 Unidades,"R$ 5,99",Sempre Livre,Cuidado Íntimo,"R$ 5,99","R$ 3,99","R$ 3,99","R$ 5,99","R$ 5,99"
Absorvente Geriátrico Bigfral 3 Em 1 Com 20 Unidades,"R$ 20,99",Bigfral,Cuidado Íntimo,"R$ 20,99","R$ 19,90","R$ 19,90","R$ 20,99","R$ 20,99"
Absorvente Interno Intimus Mini Com 16 Unidades,"R$ 22,95",Intimus,Cuidado Íntimo,"R$ 22,95","R$ 22,95","R$ 22,95","R$ 18,99","R$ 22,95"
Absorvente Interno Intimus Mini Com 8 Unidades,"R$ 11,89",Intimus,Cuidado Íntimo,"R$ 11,89","R$ 11,89","R$ 11,89","R$ 11,89","R$ 11,89"
Absorvente Interno Intimus Médio Com 16 Unidades,"R$ 22,95",Intimus,Cuidado Íntimo,"R$ 22,95","R$ 22,95","R$ 22,95","R$ 18,99","R$ 22,95"
Absorvente Interno Intimus Médio Com 8 Unidades,"R$ 11,89",Intimus,Cuidado Íntimo,"R$ 11,89","R$ 11,89","R$ 11,89","R$ 11,89","R$ 11,89"
Absorvente Interno Intimus Super Com 16 Unidades,"R$ 22,95",Intimus,Cuidado Íntimo,"R$ 22,95","R$ 22,95","R$ 22,95","R$ 18,99","R$ 22,95"
Absorvente Interno Intimus Super Com 8 Unidades,"R$ 11,89",Intimus,Cuidado Íntimo,"R$ 11,89","R$ 11,89","R$ 11,89","R$ 11,89","R$ 11,89"
Absorvente Interno Modess Fluxo Intenso Super Com 16 Unidades,"R$ 19,49",Modess,Cuidado Íntimo,"R$ 19,49","R$ 16,50","R$ 16,50","R$ 19,49","R$ 19,49"
Absorvente Interno Modess Fluxo Moderado Médio Com 16 Unidades,"R$ 19,49",Modess,Cuidado Íntimo,"R$ 19,49","R$ 16,50","R$ 16,50","R$ 19,49","R$ 19,49"
Absorvente Interno O.B. ProComfort Médio Com 16 Unidades,"R$ 18,99",Ob,Cuidado Íntimo,"R$ 18,99","R$ 18,99","R$ 18,99","R$ 18,99","R$ 18,99"
Absorvente Interno O.B. ProComfort Médio Com 8 Unidades,"R$ 10,99",Ob,Cuidado Íntimo,"R$ 10,99","R$ 10,99","R$ 10,99","R$ 10,99","R$ 10,99"
Absorvente Interno O.B. ProComfort Super Com 16 Unidades,"R$ 18,99",Ob,Cuidado Íntimo,"R$ 18,99","R$ 18,99","R$ 18,99","R$ 18,99","R$ 18,99"
